Topic,Count,top_keywords,topic_name
0,239,"good, room, staff, hotel",0_good_room_staff_hotel
1,76,"beach, sea, island, sea beach",1_beach_sea_island_sea beach
2,73,"dhaka, history, historical, visit",2_dhaka_history_historical_visit
3,32,"bandarban, nilachal, place, tourist",3_bandarban_nilachal_place_tourist
4,17,"panam, city, panam city, sonargaon",4_panam_city_panam city_sonargaon
5,16,"tea, garden, tea garden, sreemangal",5_tea_garden_tea garden_sreemangal
6,16,"forest, swamp, ratargul, swamp forest",6_forest_swamp_ratargul_swamp forest
7,12,"karamjal, sundarbans, forest, center",7_karamjal_sundarbans_forest_center
8,11,"lake, kaptai, kaptai lake, rangamati",8_lake_kaptai_kaptai lake_rangamati
9,7,"place, historical place, historical, visit",9_place_historical place_historical_visit
